item_id	group_id	listing_has_variations	variant_dict	title	description	url	brand	seller_name	image_url	additional_image_urls	availability	price	shipping_price	condition	mpn	gtin	size	material	color	product_category	target_countries	ads_metadata	is_ads_eligible
PBR1.5X2.5WOP				100 x Write On Panel Grip Seal Bags - 38x64 mm	"100 x Write On Panel Clear Grip Seal Resealable Polythene Plastic Bags 1.5"" x 2.5"" (38 x 64 mm). Strong transparent polythene bags with a resealable strip ideal for items that need to be identified easily. Plain white write on the panel to identify contents inside, suitable for pens, pencils and markers. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade 100% virgin, low density and high-clarity polythene film. Available in a wide range of sizes to suit a variety of small-medium sized products. Bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/write-on-panel-grip-seal-bags/?sfpartno=PBR1.5X2.5WOP	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-2l.jpg	in_stock	1.04 GBP	7.14 GBP	new	PBR1.5X2.5WOP	5056731600489				packaging > resealable grip seal bags > write on panel grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBR1.5X2.5-KITE				100 x Plain Grip Seal Bags - 38x64 mm	"100 x Plain Clear Grip Seal Resealable Polythene Plastic Bags 1.5"" x 2.5"" (38 x 64 mm). Strong transparent grip seal bags ideal for small sized goods. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade 100% virgin, low density and high-clarity polythene film. Wide selection of sizes and bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/grip-seal-bags/?sfpartno=PBR1.5X2.5-KITE	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-3l.jpg	in_stock	1.20 GBP	7.89 GBP	new	PBR1.5X2.5-KITE	5056731600410				packaging > resealable grip seal bags > grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBR2.25X2.25WOP				100 x Write On Panel Grip Seal Bags - 57x57 mm	"100 x Write On Panel Clear Grip Seal Resealable Polythene Plastic Bags 2.25"" x 2.25"" (57 x 57 mm). Strong transparent polythene bags with a resealable strip ideal for items that need to be identified easily. Plain white write on the panel to identify contents inside, suitable for pens, pencils and markers. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade 100% virgin, low density and high-clarity polythene film. Available in a wide range of sizes to suit a variety of small-medium sized products. Bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/write-on-panel-grip-seal-bags/?sfpartno=PBR2.25X2.25WOP	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-2l.jpg	in_stock	1.24 GBP	7.41 GBP	new	PBR2.25X2.25WOP	5056731600502				packaging > resealable grip seal bags > write on panel grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
DISP-MINI-KITE				Mini Stretch Wrap Dispenser	Mini stretch film dispenser - Re-Useable, durable and efficient. For use with our 15 and 17 micron mini stretch wrap film. Our mini stretch film (also known as mini stretch wrap) is perfect for smaller consignments, ensuring a secure and stable load every time in a matter of seconds. The high quality film we supply can be used to wrap a wide variety of products, because it adheres to itself with ease. Available in two sizes of thickness, it leaves a compact, eye-catching and residue-free finish to your deliveries. These narrow-width rolls are also great for bundling, banding or tying and are an economical alternative to strapping, tape, twine or wire. Used with our inexpensive and easy to operate mini stretch wrap film dispensers, they make light work of any small dispatch.	https://www.kitepackaging.co.uk/scp/pallet-wrap/mini-stretch-film-and-dispensers/?sfpartno=DISP-MINI-KITE&sfunit=y	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/mini-stretch-1l.jpg		in_stock	1.36 GBP	7.89 GBP	new	DISP-MINI-KITE	5056731607662				packaging > pallet wrap > mini stretch film and dispensers	"[""GB""]"	"{""custom_label_0"":""Mini stretch wrap"",""custom_label_1"":""Pallet Wrap"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBR2.25X2.25-KITE				100 x Plain grip seal bags - 57x57 mm	Our 57x57 mm polythene grip seal bags are manufactured from 45 micron low density polythene. As well as protecting goods from dust and surplus moisture, they offer high clarity to packaged goods making them ideal for the retail industry.	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/grip-seal-bags/?sfpartno=PBR2.25X2.25-KITE	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-3l.jpg	in_stock	1.42 GBP	7.89 GBP	new	PBR2.25X2.25-KITE	5056731609017				packaging > resealable grip seal bags > grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBR2.25X3-KITE				100 x Plain Grip Seal Bags - 57x76 mm	"100 x Plain Clear Grip Seal Resealable Polythene Plastic Bags 2.25"" x 3"" (57 x 76 mm). Strong transparent grip seal bags ideal for small sized goods. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade 100% virgin, low density and high-clarity polythene film. Wide selection of sizes and bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/grip-seal-bags/?sfpartno=PBR2.25X3-KITE	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-3l.jpg	in_stock	1.99 GBP	7.89 GBP	new	PBR2.25X3-KITE	5056731600472				packaging > resealable grip seal bags > grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""head""}"	true
PBR2.25X3WOP				100 x Write On Panel Grip Seal Bags - 57x76 mm	"100 x Write On Panel Clear Grip Seal Resealable Polythene Plastic Bags 2.25"" x 3"" (57 x 76 mm). Strong transparent polythene bags with a resealable strip ideal for items that need to be identified easily. Plain white write on the panel to identify contents inside, suitable for pens, pencils and markers. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade, 30% recycled, low density and high-clarity polythene film. Available in a wide range of sizes to suit a variety of small-medium sized products. Bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/write-on-panel-grip-seal-bags/?sfpartno=PBR2.25X3WOP	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-2l.jpg	in_stock	1.99 GBP	7.89 GBP	new	PBR2.25X3WOP	5056731600519				packaging > resealable grip seal bags > write on panel grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBR3X3.25-KITE				100 x Plain Grip Seal Bags - 76x83 mm	"Our 3""x3.25"" strong transparent grip seal bags ideal for small sized goods. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade 100% virgin, low density and high-clarity polythene film. Wide selection of sizes and bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/grip-seal-bags/?sfpartno=PBR3X3.25-KITE	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/grip-seal-bag-3l.jpg	in_stock	2.76 GBP	7.89 GBP	new	PBR3X3.25-KITE	5056731608539				packaging > resealable grip seal bags > grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBR3X3.25WOP				100 x Write On Panel Grip Seal Bags - 76x83 mm	"100 x Write On Panel Clear Grip Seal Resealable Polythene Plastic Bags 3"" x 3.25"" (76 x 83 mm). Strong transparent polythene bags with a resealable strip ideal for items that need to be identified easily. Plain white write on the panel to identify contents inside, suitable for pens, pencils and markers. Made from 45 micron (180 gauge) low density polythene. The grip seal ensures the bag stays shut and can be opened easily. These polythene mini grip bags are manufactured from standard grade, 30% recycled, low density and high-clarity polythene film. Available in a wide range of sizes to suit a variety of small-medium sized products. Bulk discounts available on our website."	https://www.kitepackaging.co.uk/scp/resealable-grip-seal-bags/write-on-panel-grip-seal-bags/?sfpartno=PBR3X3.25WOP	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-1l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/gripseal-writeon-2l.jpg	in_stock	2.76 GBP	7.89 GBP	new	PBR3X3.25WOP	5056731600557				packaging > resealable grip seal bags > write on panel grip seal bags	"[""GB""]"	"{""custom_label_0"":""Grip seal and zip lock bags"",""custom_label_1"":""Polythene & Paper Bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
PBM110X160+40MM				200 Standard Polythene Mailing Bags - 110 x 160 mm - Kite Packaging	Our best value mailing sacks. 55 micron (220 gauge) thick grey polythene. Made from 100% recycled material for an environmentally-friendly solution. 40mm lip with a peel-&-seal strip for easy and efficient closure, use with our range of multi-purpose labels. Consider including some tolerance or choosing a bag one size larger so goods fit as expected within the bags. Please note: these bags may or may not be printed with suffocation warning.	https://www.kitepackaging.co.uk/scp/mailing-bags/grey-mailing-bags/?sfpartno=PBM110X160%2b40MM	Kite Packaging	Kite Packaging	https://media.kitepackaging.co.uk/images/product_group/large/mailingbag-grey-3l.jpg	https://media.kitepackaging.co.uk/images/product_group/large/mailingbag-grey-4l.jpg	in_stock	2.84 GBP	9.92 GBP	new	PBM110X160+40MM	5056731609499				packaging > mailing bags > grey mailing bags	"[""GB""]"	"{""custom_label_0"":""Mailing bags"",""custom_label_1"":""Mailing bags"",""custom_label_2"":""Mid"",""custom_label_4"":""rest""}"	true
